threshold,precision,recall,f1,accuracy
0.0,0.5209003215434084,1.0,0.6849894291754757,0.5209003215434084
0.05555555555555555,0.5209003215434084,1.0,0.6849894291754757,0.5209003215434084
0.1111111111111111,0.5209003215434084,1.0,0.6849894291754757,0.5209003215434084
0.16666666666666666,0.5209003215434084,1.0,0.6849894291754757,0.5209003215434084
0.2222222222222222,0.5209003215434084,1.0,0.6849894291754757,0.5209003215434084
0.2777777777777778,0.5209003215434084,1.0,0.6849894291754757,0.5209003215434084
0.3333333333333333,0.5209003215434084,1.0,0.6849894291754757,0.5209003215434084
0.38888888888888884,0.5209003215434084,1.0,0.6849894291754757,0.5209003215434084
0.4444444444444444,0.5209003215434084,1.0,0.6849894291754757,0.5209003215434084
0.5,0.5374149659863946,0.9753086419753086,0.6929824561403509,0.5498392282958199
0.5555555555555556,0.5833333333333334,0.08641975308641975,0.15053763440860213,0.4919614147909968
0.611111111111111,0.0,0.0,0.0,0.4790996784565916
0.6666666666666666,0.0,0.0,0.0,0.4790996784565916
0.7222222222222222,0.0,0.0,0.0,0.4790996784565916
0.7777777777777777,0.0,0.0,0.0,0.4790996784565916
0.8333333333333333,0.0,0.0,0.0,0.4790996784565916
0.8888888888888888,0.0,0.0,0.0,0.4790996784565916
0.9444444444444444,0.0,0.0,0.0,0.4790996784565916
1.0,0.0,0.0,0.0,0.4790996784565916
