threshold,precision,recall,f1,accuracy
0.0,0.5217391304347826,1.0,0.6857142857142856,0.5217391304347826
0.02040816326530612,0.5206812652068127,0.9907407407407407,0.6826156299840511,0.5193236714975845
0.04081632653061224,0.5336658354114713,0.9907407407407407,0.6936790923824958,0.5434782608695652
0.061224489795918366,0.5268542199488491,0.9537037037037037,0.6787479406919275,0.5289855072463768
0.08163265306122448,0.525065963060686,0.9212962962962963,0.66890756302521,0.5241545893719807
0.1020408163265306,0.5213903743315508,0.9027777777777778,0.6610169491525424,0.5169082125603864
0.12244897959183673,0.5245901639344263,0.8888888888888888,0.6597938144329897,0.5217391304347826
0.14285714285714285,0.5263157894736842,0.8796296296296297,0.658578856152513,0.5241545893719807
0.16326530612244897,0.5285714285714286,0.8564814814814815,0.6537102473498233,0.5265700483091788
0.18367346938775508,0.5321637426900585,0.8425925925925926,0.6523297491039427,0.5314009661835749
0.2040816326530612,0.5331325301204819,0.8194444444444444,0.645985401459854,0.5314009661835749
0.22448979591836732,0.541795665634675,0.8101851851851852,0.6493506493506495,0.5434782608695652
0.24489795918367346,0.5471698113207547,0.8055555555555556,0.651685393258427,0.5507246376811594
0.26530612244897955,0.5445859872611465,0.7916666666666666,0.6452830188679244,0.5458937198067633
0.2857142857142857,0.5504885993485342,0.7824074074074074,0.6462715105162524,0.5531400966183575
0.3061224489795918,0.5503355704697986,0.7592592592592593,0.6381322957198443,0.5507246376811594
0.32653061224489793,0.5494880546075085,0.7453703703703703,0.6326129666011787,0.5483091787439613
0.3469387755102041,0.5486111111111112,0.7314814814814815,0.6269841269841271,0.5458937198067633
0.36734693877551017,0.5543859649122806,0.7314814814814815,0.6307385229540918,0.5531400966183575
0.3877551020408163,0.5595667870036101,0.7175925925925926,0.6288032454361054,0.5579710144927537
0.4081632653061224,0.5563636363636364,0.7083333333333334,0.6232179226069248,0.5531400966183575
0.42857142857142855,0.5584905660377358,0.6851851851851852,0.6153846153846154,0.5531400966183575
0.44897959183673464,0.5555555555555556,0.6712962962962963,0.6079664570230608,0.5483091787439613
0.4693877551020408,0.556,0.6435185185185185,0.5965665236051502,0.5458937198067633
0.4897959183673469,0.5555555555555556,0.625,0.5882352941176471,0.5434782608695652
0.5102040816326531,0.5474137931034483,0.5879629629629629,0.5669642857142857,0.5314009661835749
0.5306122448979591,0.5619469026548672,0.5879629629629629,0.5746606334841629,0.5458937198067633
0.5510204081632653,0.5648148148148148,0.5648148148148148,0.5648148148148148,0.5458937198067633
0.5714285714285714,0.5741626794258373,0.5555555555555556,0.5647058823529412,0.5531400966183575
0.5918367346938775,0.5816326530612245,0.5277777777777778,0.5533980582524272,0.5555555555555556
0.6122448979591836,0.5842105263157895,0.5138888888888888,0.5467980295566502,0.5555555555555556
0.6326530612244897,0.5815217391304348,0.49537037037037035,0.5349999999999999,0.5507246376811594
0.6530612244897959,0.5795454545454546,0.4722222222222222,0.520408163265306,0.5458937198067633
0.673469387755102,0.5647058823529412,0.4444444444444444,0.49740932642487046,0.5314009661835749
0.6938775510204082,0.5575757575757576,0.42592592592592593,0.48293963254593175,0.5241545893719807
0.7142857142857142,0.56875,0.4212962962962963,0.4840425531914893,0.5314009661835749
0.7346938775510203,0.5695364238410596,0.39814814814814814,0.4686648501362398,0.5289855072463768
0.7551020408163265,0.5664335664335665,0.375,0.45125348189415043,0.5241545893719807
0.7755102040816326,0.5789473684210527,0.35648148148148145,0.44126074498567336,0.5289855072463768
0.7959183673469387,0.5813953488372093,0.3472222222222222,0.43478260869565216,0.5289855072463768
0.8163265306122448,0.5737704918032787,0.32407407407407407,0.41420118343195267,0.5217391304347826
0.836734693877551,0.5775862068965517,0.3101851851851852,0.40361445783132527,0.5217391304347826
0.8571428571428571,0.5849056603773585,0.28703703703703703,0.3850931677018633,0.5217391304347826
0.8775510204081632,0.5625,0.25,0.34615384615384615,0.5072463768115942
0.8979591836734693,0.5853658536585366,0.2222222222222222,0.3221476510067114,0.5120772946859904
0.9183673469387754,0.5753424657534246,0.19444444444444445,0.2906574394463668,0.5048309178743962
0.9387755102040816,0.5961538461538461,0.14351851851851852,0.23134328358208955,0.5024154589371981
0.9591836734693877,0.5517241379310345,0.07407407407407407,0.13061224489795917,0.4855072463768116
0.9795918367346939,0.6666666666666666,0.027777777777777776,0.05333333333333333,0.4855072463768116
1.0,0.0,0.0,0.0,0.4782608695652174
