threshold,precision,recall,f1,accuracy
0.0,0.5209003215434084,1.0,0.6849894291754757,0.5209003215434084
0.02040816326530612,0.5209003215434084,1.0,0.6849894291754757,0.5209003215434084
0.04081632653061224,0.5209003215434084,1.0,0.6849894291754757,0.5209003215434084
0.061224489795918366,0.5209003215434084,1.0,0.6849894291754757,0.5209003215434084
0.08163265306122448,0.5209003215434084,1.0,0.6849894291754757,0.5209003215434084
0.1020408163265306,0.5209003215434084,1.0,0.6849894291754757,0.5209003215434084
0.12244897959183673,0.5209003215434084,1.0,0.6849894291754757,0.5209003215434084
0.14285714285714285,0.5209003215434084,1.0,0.6849894291754757,0.5209003215434084
0.16326530612244897,0.5209003215434084,1.0,0.6849894291754757,0.5209003215434084
0.18367346938775508,0.5209003215434084,1.0,0.6849894291754757,0.5209003215434084
0.2040816326530612,0.5209003215434084,1.0,0.6849894291754757,0.5209003215434084
0.22448979591836732,0.5209003215434084,1.0,0.6849894291754757,0.5209003215434084
0.24489795918367346,0.5209003215434084,1.0,0.6849894291754757,0.5209003215434084
0.26530612244897955,0.5209003215434084,1.0,0.6849894291754757,0.5209003215434084
0.2857142857142857,0.5209003215434084,1.0,0.6849894291754757,0.5209003215434084
0.3061224489795918,0.5209003215434084,1.0,0.6849894291754757,0.5209003215434084
0.32653061224489793,0.5209003215434084,1.0,0.6849894291754757,0.5209003215434084
0.3469387755102041,0.5209003215434084,1.0,0.6849894291754757,0.5209003215434084
0.36734693877551017,0.5209003215434084,1.0,0.6849894291754757,0.5209003215434084
0.3877551020408163,0.517799352750809,0.9876543209876543,0.6794055201698512,0.5144694533762058
0.4081632653061224,0.528052805280528,0.9876543209876543,0.6881720430107527,0.5337620578778135
0.42857142857142855,0.5335570469798657,0.9814814814814815,0.691304347826087,0.5434083601286174
0.44897959183673464,0.5467128027681661,0.9753086419753086,0.7006651884700665,0.5659163987138264
0.4693877551020408,0.5519713261648745,0.9506172839506173,0.6984126984126985,0.572347266881029
0.4897959183673469,0.5521235521235521,0.8827160493827161,0.6793349168646081,0.5659163987138264
0.5102040816326531,0.5654205607476636,0.7469135802469136,0.6436170212765957,0.5691318327974276
0.5306122448979591,0.5819209039548022,0.6358024691358025,0.6076696165191741,0.572347266881029
0.5510204081632653,0.5725806451612904,0.4382716049382716,0.4965034965034965,0.5369774919614148
0.5714285714285714,0.5789473684210527,0.2716049382716049,0.36974789915966383,0.5176848874598071
0.5918367346938775,0.6923076923076923,0.16666666666666666,0.26865671641791045,0.5273311897106109
0.6122448979591836,0.7333333333333333,0.06790123456790123,0.12429378531073446,0.5016077170418006
0.6326530612244897,1.0,0.024691358024691357,0.048192771084337345,0.4919614147909968
0.6530612244897959,1.0,0.006172839506172839,0.012269938650306747,0.48231511254019294
0.673469387755102,1.0,0.006172839506172839,0.012269938650306747,0.48231511254019294
0.6938775510204082,1.0,0.006172839506172839,0.012269938650306747,0.48231511254019294
0.7142857142857142,0.0,0.0,0.0,0.4790996784565916
0.7346938775510203,0.0,0.0,0.0,0.4790996784565916
0.7551020408163265,0.0,0.0,0.0,0.4790996784565916
0.7755102040816326,0.0,0.0,0.0,0.4790996784565916
0.7959183673469387,0.0,0.0,0.0,0.4790996784565916
0.8163265306122448,0.0,0.0,0.0,0.4790996784565916
0.836734693877551,0.0,0.0,0.0,0.4790996784565916
0.8571428571428571,0.0,0.0,0.0,0.4790996784565916
0.8775510204081632,0.0,0.0,0.0,0.4790996784565916
0.8979591836734693,0.0,0.0,0.0,0.4790996784565916
0.9183673469387754,0.0,0.0,0.0,0.4790996784565916
0.9387755102040816,0.0,0.0,0.0,0.4790996784565916
0.9591836734693877,0.0,0.0,0.0,0.4790996784565916
0.9795918367346939,0.0,0.0,0.0,0.4790996784565916
1.0,0.0,0.0,0.0,0.4790996784565916
